AGI,dir,tp
AT1G25270,down,10 min
AT3G07250,down,10 min
AT2G06904,down,10 min
AT4G06479,down,10 min
AT1G36510,down,10 min
AT5G25400,down,10 min
AT5G49920,down,10 min
AT3G47190,down,10 min
AT4G35820,down,10 min
AT1G23810,down,10 min
AT1G27220,down,10 min
AT1G27240,down,10 min
AT1G27260,down,10 min
AT1G27270,down,10 min
AT1G60410,down,10 min
AT5G63740,down,10 min
AT1G17150,down,10 min
AT1G43080,down,10 min
AT1G43090,down,10 min
AT1G28000,down,10 min
AT1G28020,down,10 min
AT1G47940,down,10 min
AT1G63070,down,10 min
AT3G11380,down,10 min
AT5G28420,down,10 min
AT5G05050,down,10 min
AT3G50990,down,10 min
AT1G24110,down,10 min
AT2G03250,down,10 min
AT1G27570,down,10 min
AT1G51040,down,10 min
AT3G60420,down,10 min
AT4G29460,down,10 min
AT1G13680,down,10 min
AT1G30925,down,10 min
AT3G58300,down,10 min
AT3G58330,down,10 min
AT3G58280,down,10 min
AT1G48010,down,10 min
AT1G54980,down,10 min
AT3G62180,down,10 min
AT5G46930,down,10 min
AT5G46980,down,10 min
AT5G46990,down,10 min
AT5G50050,down,10 min
AT2G15345,down,10 min
AT1G50340,down,10 min
AT3G17140,down,10 min
AT1G51230,down,10 min
AT1G09245,down,10 min
AT1G26797,down,10 min
AT1G58242,down,10 min
AT1G40087,down,10 min
AT5G05020,down,10 min
AT2G15470,down,10 min
AT3G12430,down,10 min
AT3G23320,down,10 min
AT5G33330,down,10 min
AT5G38920,down,10 min
AT5G61090,down,10 min
AT2G46460,down,10 min
AT4G13885,down,10 min
AT4G22060,down,10 min
AT2G35615,down,10 min
AT5G20690,down,10 min
AT1G30350,down,10 min
AT3G06830,down,10 min
AT1G31250,down,10 min
AT5G44265,down,10 min
AT2G17180,down,10 min
AT2G22040,down,10 min
AT1G59690,down,10 min
AT3G06630,down,10 min
AT3G45920,down,10 min
AT3G46410,down,10 min
AT5G27790,down,10 min
AT5G60090,down,10 min
AT1G23700,down,10 min
AT2G40500,down,10 min
AT3G01085,down,10 min
AT3G23650,down,10 min
AT3G45790,down,10 min
AT1G17545,down,10 min
AT2G13720,down,10 min
AT2G04920,down,10 min
AT1G32420,down,10 min
AT1G32660,down,10 min
AT1G33010,down,10 min
AT1G47390,down,10 min
AT1G47730,down,10 min
AT1G50880,down,10 min
AT1G55070,down,10 min
AT1G67390,down,10 min
AT1G70960,down,10 min
AT1G77650,down,10 min
AT3G17620,down,10 min
AT3G19560,down,10 min
AT3G22710,down,10 min
AT3G22940,down,10 min
AT3G23960,down,10 min
AT3G44060,down,10 min
AT3G58910,down,10 min
AT4G09190,down,10 min
AT4G17565,down,10 min
AT4G21240,down,10 min
AT4G22165,down,10 min
AT4G22180,down,10 min
AT4G29970,down,10 min
AT5G39470,down,10 min
AT5G40050,down,10 min
AT5G41500,down,10 min
AT5G44970,down,10 min
AT5G47300,down,10 min
AT5G52610,down,10 min
AT5G52620,down,10 min
AT5G62060,down,10 min
AT5G62660,down,10 min
AT2G02890,down,10 min
AT2G16220,down,10 min
AT2G16290,down,10 min
AT2G16450,down,10 min
AT2G26160,down,10 min
AT2G33190,down,10 min
AT5G16285,down,10 min
AT1G22000,down,10 min
AT4G26350,down,10 min
AT5G62970,down,10 min
AT3G59160,down,10 min
AT3G59170,down,10 min
AT4G13960,down,10 min
AT1G12170,down,10 min
AT1G62270,down,10 min
AT3G17570,down,10 min
AT3G19410,down,10 min
AT3G43710,down,10 min
AT4G22430,down,10 min
AT4G39290,down,10 min
AT4G39760,down,10 min
AT5G02980,down,10 min
AT5G38680,down,10 min
AT2G29800,down,10 min
AT1G50980,down,10 min
AT5G56390,down,10 min
AT1G70110,down,10 min
AT5G53040,down,10 min
AT3G12000,down,10 min
AT5G18330,down,10 min
AT3G45990,down,10 min
AT2G13150,down,10 min
AT1G33220,down,10 min
AT5G20390,down,10 min
AT3G03400,down,10 min
AT2G37910,down,10 min
AT2G22160,down,10 min
AT3G22010,down,10 min
AT4G20680,down,10 min
AT1G32710,down,10 min
AT3G24513,down,10 min
AT5G56369,down,10 min
AT5G46877,down,10 min
AT5G66890,down,10 min
AT3G13280,down,10 min
AT5G67010,down,10 min
AT3G04150,down,10 min
AT1G29870,down,10 min
AT2G10550,down,10 min
AT5G50040,down,10 min
AT2G14440,down,10 min
AT1G72460,down,10 min
AT4G30770,down,10 min
AT4G10440,down,10 min
AT3G43660,down,10 min
AT1G50050,down,10 min
AT5G15110,down,10 min
AT2G36700,down,10 min
AT3G24130,down,10 min
AT5G07420,down,10 min
AT5G18990,down,10 min
AT2G47280,down,10 min
AT3G42560,down,10 min
AT3G25280,down,10 min
AT4G11730,down,10 min
AT5G48140,down,10 min
AT3G18810,down,10 min
AT1G76370,down,10 min
AT2G16620,down,10 min
AT2G40560,down,10 min
AT2G41920,down,10 min
AT2G30730,down,10 min
AT2G40580,down,10 min
AT1G01450,down,10 min
AT5G48700,down,10 min
AT5G55855,down,10 min
AT4G18330,down,10 min
AT4G04402,down,10 min
AT1G56040,down,10 min
AT4G14225,down,10 min
AT1G29570,down,10 min
AT4G15250,down,10 min
AT3G22030,down,10 min
AT4G11890,down,10 min
AT3G21960,down,10 min
AT3G29050,down,10 min
AT3G23270,down,10 min
AT3G58390,down,10 min
AT2G01240,down,10 min
AT4G29090,down,10 min
AT3G26860,down,10 min
AT3G54925,down,10 min
AT3G17080,down,10 min
AT3G24060,down,10 min
AT3G26870,down,10 min
AT3G26880,down,10 min
AT3G27680,down,10 min
AT5G26060,down,10 min
AT5G38440,down,10 min
AT1G26795,down,10 min
AT1G26799,down,10 min
AT2G24340,down,10 min
AT3G13227,down,10 min
AT5G44630,down,10 min
AT3G29260,down,10 min
AT3G22040,down,10 min
AT4G21260,down,10 min
AT2G37140,down,10 min
AT3G14490,down,10 min
AT5G44330,down,10 min
AT5G43120,down,10 min
AT2G33090,down,10 min
AT5G27310,down,10 min
AT2G27780,down,10 min
AT4G38070,down,10 min
AT4G00870,down,10 min
AT1G30670,down,10 min
AT4G20810,down,10 min
AT4G10680,down,10 min
AT4G21010,down,10 min
AT4G31690,down,10 min
AT5G27945,down,10 min
AT2G31690,down,10 min
AT5G28237,down,10 min
AT1G65140,down,10 min
AT1G65170,down,10 min
AT2G27650,down,10 min
AT4G03350,down,10 min
AT4G05230,down,10 min
AT4G05240,down,10 min
AT4G05250,down,10 min
AT4G05270,down,10 min
AT5G11080,down,10 min
AT2G32360,down,10 min
AT5G25340,down,10 min
AT4G22420,down,10 min
AT1G23590,down,10 min
AT3G49270,down,10 min
AT1G48953,down,10 min
AT1G61353,down,10 min
AT2G11851,down,10 min
AT2G43255,down,10 min
AT3G62097,down,10 min
AT4G17590,down,10 min
AT4G18320,down,10 min
AT1G05550,down,10 min
AT2G20970,down,10 min
AT1G51020,down,10 min
AT1G68960,down,10 min
AT3G18900,down,10 min
AT1G07680,down,10 min
AT1G10100,down,10 min
AT1G20400,down,10 min
AT1G21950,down,10 min
AT1G23270,down,10 min
AT1G23520,down,10 min
AT1G23570,down,10 min
AT1G23580,down,10 min
AT1G23610,down,10 min
AT1G23690,down,10 min
AT1G24380,down,10 min
AT1G24822,down,10 min
AT1G26350,down,10 min
AT1G26710,down,10 min
AT1G27860,down,10 min
AT1G29480,down,10 min
AT1G29580,down,10 min
AT1G31270,down,10 min
AT1G31620,down,10 min
AT1G31960,down,10 min
AT1G32650,down,10 min
AT1G34400,down,10 min
AT1G35400,down,10 min
AT1G35820,down,10 min
AT1G35900,down,10 min
AT1G36580,down,10 min
AT1G42700,down,10 min
AT1G43320,down,10 min
AT1G43680,down,10 min
AT1G43720,down,10 min
AT1G44674,down,10 min
AT1G46336,down,10 min
AT1G47280,down,10 min
AT1G47485,down,10 min
AT1G48095,down,10 min
AT1G49800,down,10 min
AT1G50160,down,10 min
AT1G50220,down,10 min
AT1G51000,down,10 min
AT1G51970,down,10 min
AT1G53640,down,10 min
AT1G54880,down,10 min
AT1G54950,down,10 min
AT1G55220,down,10 min
AT1G57906,down,10 min
AT1G62070,down,10 min
AT1G62080,down,10 min
AT1G62220,down,10 min
AT1G62920,down,10 min
AT1G64870,down,10 min
AT1G65740,down,10 min
AT1G69470,down,10 min
AT1G70120,down,10 min
AT1G72080,down,10 min
AT1G74220,down,10 min
AT1G77960,down,10 min
AT3G01230,down,10 min
AT3G01240,down,10 min
AT3G01250,down,10 min
AT3G01880,down,10 min
AT3G04270,down,10 min
AT3G06090,down,10 min
AT3G07710,down,10 min
AT3G09110,down,10 min
AT3G09450,down,10 min
AT3G12840,down,10 min
AT3G13630,down,10 min
AT3G15910,down,10 min
AT3G23040,down,10 min
AT3G23850,down,10 min
AT3G26390,down,10 min
AT3G27590,down,10 min
AT3G27800,down,10 min
AT3G28120,down,10 min
AT3G28190,down,10 min
AT3G28260,down,10 min
AT3G28780,down,10 min
AT3G28810,down,10 min
AT3G28870,down,10 min
AT3G28980,down,10 min
AT3G29791,down,10 min
AT3G30220,down,10 min
AT3G31350,down,10 min
AT3G31400,down,10 min
AT3G32050,down,10 min
AT3G32100,down,10 min
AT3G32120,down,10 min
AT3G32180,down,10 min
AT3G32200,down,10 min
AT3G32960,down,10 min
AT3G42310,down,10 min
AT3G42380,down,10 min
AT3G42870,down,10 min
AT3G42940,down,10 min
AT3G42970,down,10 min
AT3G42990,down,10 min
AT3G43250,down,10 min
AT3G43260,down,10 min
AT3G43290,down,10 min
AT3G45800,down,10 min
AT3G45820,down,10 min
AT3G45910,down,10 min
AT3G46240,down,10 min
AT3G46310,down,10 min
AT3G47920,down,10 min
AT3G48220,down,10 min
AT3G49305,down,10 min
AT3G55570,down,10 min
AT3G56180,down,10 min
AT3G56670,down,10 min
AT3G57850,down,10 min
AT3G57900,down,10 min
AT3G59460,down,10 min
AT3G60560,down,10 min
AT3G60920,down,10 min
AT3G62350,down,10 min
AT3G62640,down,10 min
AT4G02000,down,10 min
AT4G02910,down,10 min
AT4G03380,down,10 min
AT4G03580,down,10 min
AT4G03740,down,10 min
AT4G04730,down,10 min
AT4G08630,down,10 min
AT4G09850,down,10 min
AT4G09860,down,10 min
AT4G10220,down,10 min
AT4G10880,down,10 min
AT4G12220,down,10 min
AT4G12930,down,10 min
AT4G13261,down,10 min
AT4G14260,down,10 min
AT4G15050,down,10 min
AT4G15060,down,10 min
AT4G15650,down,10 min
AT4G16090,down,10 min
AT4G18000,down,10 min
AT4G18850,down,10 min
AT4G19095,down,10 min
AT4G19240,down,10 min
AT4G19620,down,10 min
AT4G20530,down,10 min
AT4G20670,down,10 min
AT4G22400,down,10 min
AT4G23080,down,10 min
AT4G23370,down,10 min
AT4G23380,down,10 min
AT4G24030,down,10 min
AT4G24410,down,10 min
AT4G25510,down,10 min
AT4G26040,down,10 min
AT4G28870,down,10 min
AT4G30970,down,10 min
AT4G33600,down,10 min
AT4G34690,down,10 min
AT4G35210,down,10 min
AT4G35680,down,10 min
AT4G36170,down,10 min
AT5G01130,down,10 min
AT5G01140,down,10 min
AT5G01440,down,10 min
AT5G03400,down,10 min
AT5G03750,down,10 min
AT5G05030,down,10 min
AT5G06010,down,10 min
AT5G11660,down,10 min
AT5G16090,down,10 min
AT5G17180,down,10 min
AT5G19270,down,10 min
AT5G23180,down,10 min
AT5G25000,down,10 min
AT5G25200,down,10 min
AT5G25600,down,10 min
AT5G25960,down,10 min
AT5G26840,down,10 min
AT5G27340,down,10 min
AT5G28070,down,10 min
AT5G28090,down,10 min
AT5G28190,down,10 min
AT5G28410,down,10 min
AT5G28550,down,10 min
AT5G28730,down,10 min
AT5G28810,down,10 min
AT5G28950,down,10 min
AT5G29070,down,10 min
AT5G34885,down,10 min
AT5G35090,down,10 min
AT5G35230,down,10 min
AT5G35540,down,10 min
AT5G36080,down,10 min
AT5G36190,down,10 min
AT5G36770,down,10 min
AT5G36980,down,10 min
AT5G37320,down,10 min
AT5G37520,down,10 min
AT5G38190,down,10 min
AT5G38370,down,10 min
AT5G38400,down,10 min
AT5G39010,down,10 min
AT5G39170,down,10 min
AT5G39200,down,10 min
AT5G39430,down,10 min
AT5G39870,down,10 min
AT5G41530,down,10 min
AT5G41720,down,10 min
AT5G42955,down,10 min
AT5G43390,down,10 min
AT5G46300,down,10 min
AT5G46380,down,10 min
AT5G46810,down,10 min
AT5G48860,down,10 min
AT5G49260,down,10 min
AT5G50540,down,10 min
AT5G50880,down,10 min
AT5G50910,down,10 min
AT5G51650,down,10 min
AT5G52130,down,10 min
AT5G53410,down,10 min
AT5G53690,down,10 min
AT5G53780,down,10 min
AT5G54330,down,10 min
AT5G54420,down,10 min
AT5G55010,down,10 min
AT5G55870,down,10 min
AT5G56060,down,10 min
AT5G56070,down,10 min
AT5G57730,down,10 min
AT5G60000,down,10 min
AT5G61605,down,10 min
AT5G61710,down,10 min
AT5G66340,down,10 min
AT2G02440,down,10 min
AT2G04870,down,10 min
AT2G05360,down,10 min
AT2G06420,down,10 min
AT2G06645,down,10 min
AT2G07190,down,10 min
AT2G07280,down,10 min
AT2G07310,down,10 min
AT2G07691,down,10 min
AT2G07692,down,10 min
AT2G09970,down,10 min
AT2G10560,down,10 min
AT2G11570,down,10 min
AT2G13500,down,10 min
AT2G13510,down,10 min
AT2G14390,down,10 min
AT2G14700,down,10 min
AT2G14810,down,10 min
AT2G15360,down,10 min
AT2G15610,down,10 min
AT2G17960,down,10 min
AT2G18810,down,10 min
AT2G18830,down,10 min
AT2G18920,down,10 min
AT2G18930,down,10 min
AT2G19420,down,10 min
AT2G20150,down,10 min
AT2G20625,down,10 min
AT2G22320,down,10 min
AT2G22340,down,10 min
AT2G22520,down,10 min
AT2G23040,down,10 min
AT2G24080,down,10 min
AT2G24255,down,10 min
AT2G24780,down,10 min
AT2G25565,down,10 min
AT2G27320,down,10 min
AT2G29880,down,10 min
AT2G30380,down,10 min
AT2G30690,down,10 min
AT2G31035,down,10 min
AT2G33420,down,10 min
AT2G34270,down,10 min
AT2G34800,down,10 min
AT2G36550,down,10 min
AT2G39160,down,10 min
AT2G39520,down,10 min
AT2G40955,down,10 min
AT2G41590,down,10 min
AT2G47660,down,10 min
AT2G02795,down,10 min
AT2G02835,down,10 min
AT2G04037,down,10 min
AT2G05752,down,10 min
AT2G06906,down,10 min
AT2G07215,down,10 min
AT2G10602,down,10 min
