Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h
gehring_L3_state::18. CZSC plac call,0.0672106654407539,0.6734289381867122,0.8814580913898514,0.3272364861658203,0.3977828280028823,0.738850072512374,1.0,0.8189714321357284,0.958747378317784,0.9464794842441405,0.8211516280720432,0.9833303134625838,1.0,0.9651686122994947,0.8523006424181996
gehring_L3_state::18. FUN epid,0.7436619718309859,0.8320506904483331,0.9280294980235474,0.3016324119274898,0.7843367428680336,0.7580150274638041,0.9946044839114916,0.8559205119173418,0.9596586388949158,0.9543575163049471,0.5493929712460064,0.12740379922297493,0.944424778761062,0.6320816864295126,0.8495372031283633
gehring_L3_state::19. CPT pers nuc,0.8941407405602755,0.2861712294378117,0.8632580352306624,0.2590009017132552,0.5697682323177918,0.8320695026312283,0.15911396885323265,0.9686564371257486,1.0,0.449681095550831,0.055094128819619004,1.0,1.0,0.6449504612088549,0.8309535768099303
gehring_L3_state::19. CZSC plac phos,0.2489139179404665,0.0555258532542955,0.9639912964816268,0.3438163279461746,0.2692305027437503,0.4435493538564818,1.0,1.0,0.4295314192388611,0.343261320659539,0.24577737556561088,0.05049928368293882,1.0,0.6849545019928879,0.8586149192101785
gehring_L3_state::19. ii1 basal cont PS,0.6795672826220929,0.3966443851671375,0.8498846367601737,0.0746618575293056,1.0,0.731856433863195,1.0,0.8953967065868264,1.0,0.7125278156420025,0.22875399361022364,0.8645762960985233,1.0,0.8737290797325795,0.958004899599217
gehring_L3_state::2. EMB low proto,0.6427275226835304,0.0364551937072704,0.1301695923832192,0.8150728489393005,0.1652347430851948,0.0,0.0,0.8721396492728829,0.36832595789938516,0.10549346267397723,0.5195294117647059,0.49181999664576576,0.22105302297910315,0.6097887381497221,0.7550415750740705
gehring_L3_state::2. EMB up proto II,0.995172968624296,0.0406995783015778,0.9031402991533906,0.9388280746941404,0.7189457347153706,0.3594967513006785,1.0,0.044924154025670945,0.015964523281596452,0.02018947347667071,0.0,0.03820148749154834,0.02372276344165985,0.045062298107983394,0.12019497276115837
gehring_L3_state::20. CZSC plac call,0.0218825422365245,0.3344547699253192,0.4406589513462446,0.444570398041994,0.7341784509082546,0.8358783997197977,1.0,0.8170642410830512,0.7140653619974934,0.233056079119038,0.9054844340501974,0.2910554807164596,1.0,0.8710553405984877,0.11067571442224983
gehring_L3_state::20. CZSC plac phos,0.9809015334357248,0.4038234599952797,0.8116365509554282,0.1068738295068322,0.397699392319833,0.8424306786657697,1.0,0.937503465291639,0.9119355849666112,0.8105812530105574,0.7189972966330794,0.4663778431926912,1.0,1.0,0.8762818928564785
gehring_L3_state::20. ii1 endothel,0.8701048745041046,0.8816857625943857,0.819312608574637,0.3298808276265445,1.0,0.7689815147809825,1.0,0.8467319393471123,1.0,0.6940678703647915,0.8899766899766899,0.5244221981563169,1.0,0.7665357885609603,0.8786338523355097
gehring_L3_state::21. CZSC plac call,0.0674711718959506,0.4665825093729324,0.9999628086878906,0.3409112608072985,0.401780485512468,0.844487898600107,0.9894205718644747,0.8379144488800178,1.0,0.7205585695909931,0.7144325600777885,0.7136382026168491,1.0,1.0,0.5577456090693212
gehring_L3_state::21. ii1 endothel,0.42735771240033,0.3715625512471796,0.7390477220884838,0.0724404378622021,1.0,0.8399839096810974,0.9791939768933634,0.7389301725726218,0.6241648065614132,0.3179156288829826,0.0039646627881922,0.020084942373896124,1.0,0.6723326933024716,1.0
gehring_L3_state::21. ii1'/ii2,0.9242782513060214,0.2920718718162453,0.5445199580325405,0.5122693116922152,0.4903243266155196,0.2799683521542113,0.8643227937706467,0.855050768029159,0.8319731183692997,0.5467472215679723,0.7332268370607028,0.7872818722764924,1.0,0.6134700680848659,0.9977575144488225
gehring_L3_state::22. ii1 basal cont PS,0.5243882320593896,0.0628905388517238,0.894923260533081,0.3459737909190581,0.7626842034413677,0.5605240248321499,1.0,1.0,0.668530479771201,0.1888732253976391,0.07354449472096532,0.010682296221019544,0.8355085396990656,0.6294844902110348,0.7890800811443704
gehring_L3_state::22. ii1'/ii2  high sene,0.7837439407007882,0.6496272880982137,0.6043340275711594,0.1360298853536004,0.3735721625528177,0.2285388045745522,0.13257633880619915,1.0,0.9977486777856321,0.23931071880460328,0.6364848773517504,0.30853745093210894,1.0,0.5973201118738877,0.9350536812259072
gehring_L3_state::23. ii1 endothel,0.6983270235401113,0.0327776960964493,0.8832173727294227,0.0715461114688416,0.9731380589174788,0.7443232628677318,1.0,0.9931179006024814,0.8206269773800865,0.16070742022299117,0.036855505279034695,0.015760433250329973,0.8081424041861314,0.7792318204932621,0.8628112219272439
gehring_L3_state::23. ii1 endothel s-phase,0.6879238238571409,0.3234918767918842,0.6072187054345484,0.0837089504185447,1.0,0.8529454074660144,1.0,0.9787631271878646,0.27635849481024455,0.4104334544275226,0.0,0.009020605697749838,1.0,0.6584816509873719,0.8582601297676278
gehring_L3_state::23. oi1 flav synth,0.6936926037943361,0.670479454169368,0.5854235928747914,0.188914231156845,0.6949005044066293,0.6062916440532783,1.0,1.0,0.8373472192087944,0.320241502555997,0.40332268370607033,0.5303895537637557,0.7807972746620773,0.7615663004679023,0.7881942907216212
