Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h,phototropism
gehring_L3_state::16. PEN s-phase,-1.203893941786563,-0.585495219725461,-0.558272174433963,-1.432623622830713,-0.8788349921075416,-0.7418902929478475,1.074964140468741,0.7681148451154335,-1.281142833326102,0.9666033155105188,1.2730898284842,-1.1193359596915,-1.1458856117076206,0.6365754629118241,-1.0988823072747933,-0.9641972809463484,1.0648813681382283,-0.9663108231127608,-0.8045524450731664,1.2654574916229333,1.090395690324323
gehring_L3_state::17. CPT trans nuc,1.2162222739728517,-1.7232889114088914,-1.0484895131593752,-1.2868173433783263,-0.9756827531163724,-1.1438638211741312,-1.0899047798308317,0.7556934193784353,-1.0068995405416743,-1.249452013078704,1.5421688251615782,-1.7598205400198097,1.0726361239808748,1.1457731285772736,1.0587744155320291,-1.1581818892152267,0.9038481907926962,-1.8272171319631625,1.4390387445060882,-1.1331209722493687,-0.7985566318498754
gehring_L3_state::17. CZSC plac phos,-0.9272672378689996,0.8998438646112318,-1.037115495870055,1.386054040181206,-1.0479261896178669,-1.4518428162286308,0.7178921561262086,1.1034518295655156,1.079752377068375,0.8720647606529623,-1.0296186685222135,0.8785077905734434,1.1818754752670646,-0.7743385603406635,0.8500757290699456,0.9065826811111624,1.098494371676212,0.8498652312228598,1.1168180680742137,1.4845021803998906,-1.1158523451648081
gehring_L3_state::17. PEN gen IV,0.9896467752512172,0.9740555809070904,-1.025523359463557,-1.2039239652879523,-0.8183838285981967,0.8774126383450256,1.3330162940717727,-0.9577418999153358,1.3000124366467851,1.2516444104264275,1.0232486070958682,-1.0934071799994567,0.8037358924076421,0.9538884846985431,1.1479327907682948,1.207088203261653,1.488672819096352,-1.0058196329386488,-1.0220812651483333,1.1656109515057111,-1.203680394154326
gehring_L3_state::18. CZSC gen,0.922058183222166,0.8230484112931421,-1.0433255650683453,1.2552041965526095,-1.3110207413031392,-1.0877818673790154,-0.8229545643627785,1.697667695220292,1.2315986831232923,0.7649280905591227,1.280071455933907,-1.113209054144559,1.281564756050333,1.262609650195583,1.078371823702032,1.4930844092263205,1.1021265026143394,0.5565509923788615,0.9030054731912942,1.676625205263445,1.012629465114227
gehring_L3_state::18. CZSC plac call,-1.5582238436661269,-0.9106657711512718,-0.8028499826045941,1.2358453628216173,-1.2274248956590212,-1.018676850301982,0.6662870313495156,0.9686943211743052,0.860223209172991,0.7818063797621037,0.819383689011727,0.6220763721854496,0.9879049480344256,0.7267616975539896,-0.8814357781902826,1.358973919545257,1.225881795145494,1.149692450026761,1.297064342765609,-0.9891635008365436,0.6510814069508175
gehring_L3_state::18. FUN epid,0.9186735024376528,-0.8007341703479107,-0.734200105963743,1.302829296287578,-0.9320089666239616,-1.025516607409788,0.634608027825295,0.8308127663387648,0.973662541292652,0.7411335064055714,-1.1853816605569976,-1.3975897059894062,-0.7935754574292491,1.3835377416718222,1.4810332415814784,2.065574501872789,2.0215743262305423,0.6937127037719878,-1.0358911476276549,1.459497187529234,0.9321089718287814
gehring_L3_state::19. CPT pers nuc,0.7867965384335275,-1.2477547449910562,-1.112944900917561,1.347718239196708,-1.1210228194562917,-0.8606668904134646,1.4457234395712977,1.1052734402673,1.407986384945036,1.1852501853067443,1.555885705300297,0.945311304939332,1.2978119363183116,1.0486575303948384,1.1982772276711753,-0.915267016483478,-0.8135651937680893,-1.3118667957844794,-1.1600208624373782,0.8220263226741092,-1.4662283646925949
gehring_L3_state::19. CZSC plac phos,-1.3228332978767152,-1.574226034248981,-0.6945384851803684,1.2194115215289332,-1.4334564493767148,-1.569173120828077,-0.963861690368098,-0.517642447309099,-1.1867613358714353,-1.117971255035864,1.268653662978251,-1.5395422758013897,0.8109673054360528,0.9865427560566272,1.066435792904285,1.4456909285492436,0.9210209475761888,-0.9403537201705278,-0.8541145049512147,1.5684339188126082,0.8663131279897279
gehring_L3_state::19. ii1 basal cont PS,1.0142420278858753,-1.1397111876032264,-1.0412763323661325,1.5786715017076405,1.0719188651356266,-1.0142300087603997,-0.9082185547423118,1.1498351514104583,0.721963719986492,-0.9142838811086444,-1.5089393334338257,-0.7758915975343748,0.9712131842232816,0.8290061751031913,0.7806700788876614,0.7819575810201926,0.976234959990104,-0.9399341931530169,1.1673733328635898,1.3633846543294463,-1.08452372234127
gehring_L3_state::2. EMB low proto,1.100902034043523,-1.698493531297924,-1.5045665794777408,0.8849957194439099,-1.5395210054158823,2.1859987272688373,1.9467576907477933,1.0940067086444594,-1.2352544300343762,1.473171291560563,1.0654462788584471,-1.058819854496086,-1.3830248570132089,1.0832732761367865,-0.9337724646246012,-0.910326789045651,-0.7578984153308412,-1.2915096459371698,-1.4309061769957234,1.1529783753486826,0.767858252275288
gehring_L3_state::2. EMB up proto II,-0.5887201778074872,-1.6790296164938083,-0.8200584580584543,-0.7171449854826795,-0.9971153721024566,-1.3092191624421157,-1.0248117697237002,-1.626812546731671,-1.754414108478488,-1.8271649969108004,2.047221724264656,-1.588130115487046,-1.723454236903389,-1.6863073764325691,-1.5067319740379048,-1.8696081985021529,-0.9833097243558602,0.9789094509149436,-1.5982230046869363,1.5820575831043713,1.261636907283871
