Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy
gehring_L3_state::34. oi2 s-phase,1.1665157323193331,-1.3177328552089558,-1.155166986720799,-1.2626469817473063,-1.262881535686269,-1.1721675563682432
gehring_L3_state::4. EMB cort init,-1.2798026801220295,0.6525887919138472,-0.6015889414655082,0.6464192568081792,-1.2641219740096319,-0.5528707874468385
gehring_L3_state::4. EMB unknown I,-0.7624938982145588,0.6906538044700682,0.6329820335657448,-1.3597000462696203,-1.5380780585470055,-1.5530007722770414
gehring_L3_state::4. EMB vasc prim,1.0868815873250222,-1.0600874628191812,-1.3068322741189975,1.2402274628363057,-1.2477451741993302,2.453872564234598
gehring_L3_state::5. EMB gro tiss init,1.140560117916576,-1.5704718527874626,-1.1239167373043397,1.6732253830027355,-1.266991439443018,2.3109783488068376
gehring_L3_state::5. EMB unknown II,-1.3442938401231128,-0.9134443850235325,-0.8624460329742274,-1.3511095478535315,-1.7598426632627884,-1.9649761817271945
gehring_L3_state::5. EMB vasc hypoph,-1.4893337168635965,-0.8884804947374826,-0.7562418267314172,0.5487013675316064,-1.5086452859216262,-0.9989401999240314
gehring_L3_state::6. CZE nodule,1.0458446917373037,-1.4087201569748506,-1.5143479231334185,1.4912264345049115,0.9324283094590582,-0.8843063604805206
gehring_L3_state::6. EMB cort init,1.297684079306381,-1.3974104737728392,-1.2684191245091196,1.7048653859563774,-1.4979648576423092,2.278840434526817
gehring_L3_state::6. EMB unknown,-1.4907354593566717,-1.1296281213180994,-0.8564178920100411,0.6441355280770077,-1.2066136660942086,-1.2292344217388218
gehring_L3_state::7. CZE apical cyst,0.9454870398463437,-2.0115311286974693,-1.0757444905698275,1.1285279311189418,-1.0620028170104296,0.7734607363663266
gehring_L3_state::7. CZE basal cyst,1.4394885340463248,-1.0624176437086275,-0.9067085088591783,-1.577997876129358,0.7280188879416755,-0.8932896199972733
gehring_L3_state::7. EMB hypoph,1.1162726336452495,-1.4015425762355684,-1.4235567087627732,1.7458881125015464,-1.5223775839976976,2.3380340378187965
gehring_L3_state::8. CZE basal cyst,-1.2430635901575473,-1.7622266028780342,-1.1567381595334225,1.2497122699941012,0.9690308906795367,-1.0249570302638147
gehring_L3_state::8. CZE nod-like,-1.0491952281632162,1.048602785999902,-1.780643219094044,1.1472861961940914,1.0863770484222317,-1.1300909316370105
gehring_L3_state::8. EMB  s-phase,1.0547611791569078,-1.3244960518307334,1.0216247487175163,-1.0969859448235155,-1.1968229833637298,2.227989660580298
gehring_L3_state::9. CZE nod-like,1.1411300208250572,-0.9823075810217913,-1.4518672820470087,0.8114881871330392,-0.535609470408448,0.939510610121957
gehring_L3_state::9. EMB g2/m-phase,-1.6193586245808564,-1.2151978882504721,0.9393562159770276,-1.846892538385143,-1.9552953607494885,1.5496056245237675
