panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,10,AT3G28910,46,3.0202646255493164,3.723037730299081e-42,13.882322311401367
germ_cluster,10,AT3G08580,47,0.3326490521430969,2.7463850356921546e-40,13.56698226928711
germ_cluster,10,AT3G16370,48,3.839430809020996,4.348691909537112e-40,13.532772064208984
germ_cluster,10,AT1G70410,49,1.7101274728775024,6.402401791130698e-38,13.158190727233887
germ_cluster,10,AT4G36250,50,3.1928911209106445,7.64138761363891e-38,13.14458179473877
germ_cluster,11,AT3G41979,1,1.7589131593704224,1.993874871444185e-302,37.425987243652344
germ_cluster,11,AT1G75830,2,2.4433701038360596,4.72571889237333e-100,21.451618194580078
germ_cluster,11,AT5G10520,3,2.7323293685913086,3.402542923254148e-06,4.956291675567627
germ_cluster,11,AT1G48920,4,0.19824256002902985,2.8456027028152835e-05,4.500400066375732
germ_cluster,11,AT4G09030,5,-0.26581043004989624,0.003788038577105734,3.2309751510620117
germ_cluster,11,AT5G11740,6,-0.3205481767654419,0.014813526376118241,2.782846212387085
germ_cluster,11,AT3G08520,7,-0.29703930020332336,0.016778502585225927,2.737929582595825
germ_cluster,11,AT3G41768,8,0.6637670993804932,0.10668055957409675,1.9750391244888306
germ_cluster,11,AT4G28520,9,1.076851725578308,0.1285447933237102,1.8857684135437012
germ_cluster,11,AT1G72060,10,1.1649302244186401,0.19510747286753777,1.6683374643325806
germ_cluster,11,AT5G05290,11,2.4701826572418213,0.5705914940030018,0.9530702233314514
germ_cluster,11,AT3G09390,12,-0.10157613456249237,0.6459587686214747,0.8467838764190674
germ_cluster,11,AT1G62420,13,1.4274232387542725,0.6855230423321359,0.7930740118026733
germ_cluster,11,AT5G35660,14,0.3261972665786743,0.6857381933518362,0.7917980551719666
germ_cluster,11,AT5G66310,15,1.3947736024856567,0.7280432608681242,0.7353302240371704
germ_cluster,11,AT4G27970,16,2.0721848011016846,0.7618414408973093,0.6886540651321411
germ_cluster,11,ATMG01390,17,0.34733283519744873,0.8084259166045844,0.6273835301399231
germ_cluster,11,AT2G41260,18,0.7062981724739075,0.8329626943397217,0.5948619842529297
germ_cluster,11,AT1G74670,19,1.7033919095993042,0.8377203196452155,0.586944580078125
germ_cluster,11,AT1G18100,20,1.597220540046692,0.8684394127553648,0.5466364622116089
germ_cluster,11,AT5G21150,21,2.4209916591644287,0.8965726771821123,0.5049096941947937
germ_cluster,11,AT4G22592,22,1.879908561706543,0.9173464197456553,0.4753284752368927
germ_cluster,11,AT5G39610,23,3.43031907081604,0.9207946731521088,0.47007399797439575
germ_cluster,11,AT3G25710,24,0.661203920841217,0.934848027687892,0.44974952936172485
germ_cluster,11,AT1G66600,25,2.1579205989837646,0.9467731984643593,0.43378400802612305
germ_cluster,11,AT4G27160,26,0.5796571373939514,0.967848528893383,0.4009137749671936
germ_cluster,11,AT2G40205,27,-0.3385501205921173,0.9784110278548732,0.3852454125881195
germ_cluster,11,AT4G15620,28,1.0185463428497314,0.9911750732306907,0.36496850848197937
germ_cluster,11,AT4G22710,29,1.180658221244812,0.9990551353093886,0.3460032343864441
germ_cluster,11,AT5G28646,30,2.1271820068359375,0.9990551353093886,0.33217358589172363
germ_cluster,11,AT4G27460,31,1.078363060951233,0.9990551353093886,0.3245652914047241
germ_cluster,11,AT3G19615,32,1.2732486724853516,0.9990551353093886,0.3206818699836731
