panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
gehring_L1_tissue,Funiculus,AT5G49360,49,1.3500043153762817,9.574947761766336e-22,10.1669282913208
gehring_L1_tissue,Funiculus,AT1G66200,50,2.4767119884490967,2.202343086475846e-21,10.084015846252441
gehring_L1_tissue,Ovule,AT4G14930,1,5.729313850402832,7.525534335056728e-66,17.714872360229492
gehring_L1_tissue,Ovule,AT3G26740,2,7.7753167152404785,3.0149577549733807e-60,16.932764053344727
gehring_L1_tissue,Ovule,AT2G33380,3,6.885162353515625,1.8863737117890944e-54,16.103233337402344
gehring_L1_tissue,Ovule,AT2G36080,4,8.357613563537598,7.026711332279866e-51,15.567923545837402
gehring_L1_tissue,Ovule,AT1G47128,5,5.640828609466553,5.4393638409300014e-45,14.659952163696289
gehring_L1_tissue,Ovule,AT5G10770,6,7.276017189025879,1.585382330977271e-42,14.256752014160156
gehring_L1_tissue,Ovule,AT4G14270,7,3.570674180984497,3.513590996278913e-32,12.472681999206543
gehring_L1_tissue,Ovule,AT3G09390,8,3.622572898864746,1.3045954124106433e-27,11.593130111694336
gehring_L1_tissue,Ovule,AT2G22970,9,3.318647623062134,3.4726239151194827e-26,11.298347473144531
gehring_L1_tissue,Ovule,AT4G39090,10,2.7264161109924316,1.4484291148170838e-25,11.162857055664062
gehring_L1_tissue,Ovule,AT2G18550,11,6.25999116897583,1.6926328762951918e-25,11.140515327453613
gehring_L1_tissue,Ovule,AT2G25450,12,3.3314411640167236,3.5247863097099326e-25,11.067203521728516
gehring_L1_tissue,Ovule,AT4G33150,13,3.833158016204834,8.32354756047953e-25,10.982688903808594
gehring_L1_tissue,Ovule,AT5G25280,14,3.145907163619995,3.7433919853308653e-23,10.626567840576172
gehring_L1_tissue,Ovule,AT5G02230,15,4.709568500518799,1.3038010242937287e-20,10.05920696258545
gehring_L1_tissue,Ovule,AT5G49360,16,3.049832820892334,1.1287750642176052e-19,9.837952613830566
gehring_L1_tissue,Ovule,AT1G12010,17,5.298497200012207,3.0466237257254637e-19,9.731372833251953
gehring_L1_tissue,Ovule,AT4G00870,18,2.829650402069092,5.034993291696803e-19,9.674299240112305
gehring_L1_tissue,Ovule,AT1G54410,19,2.589010238647461,2.3341757643766142e-17,9.267961502075195
gehring_L1_tissue,Ovule,AT3G51860,20,2.3042635917663574,2.6603174884029092e-17,9.248516082763672
gehring_L1_tissue,Ovule,AT4G05320,21,1.919945240020752,2.4145592385370684e-16,9.00435733795166
gehring_L1_tissue,Ovule,AT4G34230,22,2.85292649269104,1.9663886382956272e-15,8.76602840423584
gehring_L1_tissue,Ovule,AT5G09440,23,6.293365001678467,2.1173096456351673e-15,8.752680778503418
gehring_L1_tissue,Ovule,AT1G28330,24,5.271780490875244,3.0878947604719506e-14,8.440102577209473
gehring_L1_tissue,Ovule,AT4G35690,25,9.949800491333008,3.400367350651646e-14,8.424049377441406
gehring_L1_tissue,Ovule,AT5G63370,26,1.8955411911010742,1.7209365621087166e-13,8.227333068847656
gehring_L1_tissue,Ovule,AT4G36740,27,8.205352783203125,3.6778888139018253e-13,8.126852989196777
gehring_L1_tissue,Ovule,AT4G15610,28,8.132505416870117,3.8054421375108707e-13,8.118459701538086
gehring_L1_tissue,Ovule,AT5G50260,29,3.6314613819122314,1.986135491630105e-12,7.9112019538879395
gehring_L1_tissue,Ovule,AT1G58360,30,2.4047529697418213,3.2449739172341617e-12,7.845751762390137
gehring_L1_tissue,Ovule,AT4G20260,31,3.2389416694641113,5.338846074461905e-12,7.775121212005615
gehring_L1_tissue,Ovule,AT4G30960,32,2.3686821460723877,1.9913907546176094e-11,7.602854251861572
gehring_L1_tissue,Ovule,AT3G53990,33,1.854360580444336,5.653073359356665e-11,7.462884426116943
gehring_L1_tissue,Ovule,AT4G13250,34,3.0621514320373535,7.32647239001359e-11,7.424929141998291
gehring_L1_tissue,Ovule,AT4G27260,35,6.806021213531494,8.83193591677498e-11,7.396514415740967
gehring_L1_tissue,Ovule,AT3G26100,36,1.9882454872131348,1.0769893435453112e-10,7.366557598114014
gehring_L1_tissue,Ovule,AT2G38800,37,4.2180094718933105,1.1029512235180591e-10,7.359913349151611
gehring_L1_tissue,Ovule,AT4G32480,38,4.296926021575928,1.9864783522591306e-10,7.277546405792236
gehring_L1_tissue,Ovule,AT3G14067,39,3.1198277473449707,2.6887666873583105e-10,7.233232021331787
gehring_L1_tissue,Ovule,AT2G18050,40,5.363562107086182,4.408904322513579e-10,7.16249418258667
gehring_L1_tissue,Ovule,AT2G33480,41,2.4778494834899902,4.544720823666105e-10,7.1551079750061035
gehring_L1_tissue,Ovule,AT1G72510,42,2.665816307067871,5.72444075721065e-10,7.120214939117432
gehring_L1_tissue,Ovule,AT2G31560,43,4.801412582397461,6.297312377929046e-10,7.103954315185547
gehring_L1_tissue,Ovule,AT2G22470,44,7.032209873199463,1.1274294158072301e-09,7.019993782043457
gehring_L1_tissue,Ovule,AT5G66880,45,3.9444875717163086,1.3167042115518902e-09,6.995263576507568
